word,example
Alleviate,The medicine alleviated her pain.
Alleviated,The doctor alleviated the patient's pain with medication.
Alleviating,The lotion alleviates the itchiness.
Alleviation,The alleviation of poverty is a major goal of many charities.
Alleviative,The alleviative balm soothed her chapped lips.
Alleviator,The pain alleviator helped the patient feel better.
Alleviatory,The alleviatory effects of the new medicine were immediate.
Alley,The alley was full of cats.
Alleyed,A large tree in the alleyed garden.
Alleys,Alleys are narrow streets between buildings.
Alleyway,An alleyway is a narrow street between buildings.
Allfours,The cat is on all fours.
All-hail,All-hail to the king!
Allhallond,Allhallond is a city located in the fictional world of Middle-earth.
Allhallow,Allhallow is a time for remembrance.
Allhallow eve,People dress up for Allhallow eve.
Allhallowmas,Allhallowmas is a Christian holiday celebrated on November 1st.
Allhallown,The parade took place on Allhallown Eve.
Allhallows,Allhallows is a holiday celebrated on November 1st.
Allhallowtide,The period from October 31 to November 5 is known as Allhallowtide.
Allheal,The allheal was used to cure a variety of ailments.
Alliable,The allied armies marched together to victory.
Alliaceous,The strong alliaceous odor of the garlic was overwhelming.
Alliance,The alliance between the two countries was solidified by the signing of a new treaty.
Alliant,Alliant is a financial services company with over $120 billion in assets.
Allice,Alice was a happy young girl.
Alliciency,The alliance between two countries is an example of an alliciency.
Allicient,The allicient scent of jasmine filled the air.
Allied,The Allied forces won the battle.
Allies,The Allies won the war.
Alligate,The lawyer alligated the defendant of the crime.
Alligation,"In an alloy of copper and tin, the copper and tin are mixed in the ratio of 1:2."
Alligator,A alligator basks in the sun.
Allignment,The alignment of the planets is a rare occurrence.
Allineate,The new marketing campaign was designed to align with the company's overall goals.
Allineation,The allignment of the planets was a rare sight.
Allis,Allis the dog was chasing a squirrel.
Allision,The allision between the two ships caused a lot of damage.
Alliteral,The alliteral translation of the Bible is a word-for-word translation.
Alliterate,The ants all around the apple are amazing.
Alliteration,An ant and a antelope are animals with alliteration.
Alliterative,An amethyst amulet adorned an ankle.
Alliterator,"The alliterative poem began with the line ""A fox felled a frog."""
Allium,A bunch of allium flowers blooming in the spring.
Allmouth,The village of Allmouth is located in Cornwall.
Allness,The allness of the universe is beyond our comprehension.
Allnight,She worked all night to finish the report.
Allocate,The school allocated a budget for new books.
Allocation,The allocation of funds was based on the needs of the project.
Allocatur,The court allocatured the costs to the defendant.
Allochroic,The allochroic pigments in the butterfly's wings absorb all light.
Allochroite,An allochroite is a mineral that has been altered from its original composition.
Allochroous,The green butterfly is allochromatic.
Allocution,The bishop gave an allocution before the service.
Allod,An allod is a piece of land owned by an individual.
Allodial,The land that the Native Americans lived on was allodial.
Allodialism,Allodialism was a system of land tenure that existed in medieval England.
Allodialist,Allodialists are people who believe in the right to own property.
Allodially,The land was held allodial by the local tribe.
Allodiary,"An allodiary is a type of land tenure in which the landholder owns the land outright, without any feudal obligations to a lord."
Allodium,Allodium is a form of land tenure in which the owner holds title directly from the sovereign.
Allogamous,Allogamous plants can only reproduce with plants of another genotype.
Allogamy,Allogamy is a type of reproduction that involves two different individuals.
Allogeneous,The doctors transplanted allogeneic bone marrow into the patient.
Allograph,"The allographs of the letter 'e' are 'e', 'é', 'è', and 'ê'."
Allomerism,Allomerism is the existence of multiple forms of a single gene.
Allomerous,The allomerous antennae of the beetle are long and thin.
Allomorph,"The allomorphs of the word ""run"" are ""run"", ""ran"", and ""running""."
Allomorphic,Allomorphic forms of a word are different variants of that word.
Allomorphism,Allomorphism is the existence of different crystal forms of the same chemical compound.
Allonge,The allonge is a legal document that is used to extend a contract.
Allonym,A pseudonym or allonym is a fictitious name used by an author.
Allonymous,"The author, who chose to remain allonymous, published a new book last month."
Alloo,Alloo is a word that can be used to greet someone in a friendly way.
Allopath,An allopath is a doctor who practices conventional medicine.
Allopathic,The allopathic doctor prescribed a course of antibiotics for the patient.
Allopathically,He was allopathically treated for a year.
Allopathist,An allopathist prescribes medication to treat a patient's illness.
Allopathy,Allopathy is a system of medicine that treats diseases with drugs that produce effects opposite to those produced by the disease.
Allophylian,Allophylian languages are spoken in parts of Africa and Asia.
Allophylic,The lichen is a symbiotic association of an allophylic fungus with algae or cyanobacteria.
Alloquy,A politician's speech was an allocuy to his supporters.
Allot,The teacher allotted a specific time for each student to present their projects.
Allotheism,Allotheism is the belief that there are many gods.
Allotment,The allotment is a large plot of land that has been divided into smaller ones for people to grow their own fruit and vegetables.
Allotriophagy,The dog was exhibiting allotriophagy by eating the cat's food.
Allotropic,Graphite is an allotrope of carbon.
Allotropical,The allotrope of oxygen is ozone.
Allotropicity,Carbon demonstrates allotropy as it can exist in many different forms.
Allotropism,Allotropism is the property of certain elements to exist in two or more distinct crystal forms.
Allotropize,The allotropes of carbon include diamond and graphite.
Allotropy,"There are two allotropes of carbon, graphite and diamond."
Allottable,The allottable space is limited.
Allotted,The teacher allotted the students 10 minutes to complete the test.
Allottee,An allottee is a person who has been allocated a property or other resource.
Allotter,The alloter of the tickets was very generous.
Allottery,The Allotment committee is responsible for distributing land to local farmers.
Allotting,The teacher is allotting homework to her students.
Allow,The policy allows employees to work from home.
Allowable,The allowable weight of the package is 50 pounds.
Allowableness,The judge ruled that the allowance of the evidence was in question.
Allowably,The error margin was allowably small.
Allowance,The allowance was too little to cover all of the expenses.
Allowancing,The allowance is given to the children on a monthly basis.
Allowed,The students were allowed to leave early.
Allowedly,"Allowedly, he was not the most popular person in the office."
Allower,The allower of the permission was the boss.
Allowing,Allowing the children to play outside is a good idea.
Alloxan,Alloxan is a potent inhibitor of the enzyme xanthine oxidase.
Alloxanate,Alloxanate is a chemical that is used in the manufacture of plastics.
Alloxanic,Alloxanic acid is a chemical compound that is found in plants.
Alloxantin,Alloxantin is a dark red pigment found in beets.
Alloy,A silver alloy is made by mixing silver with other metals.
Alloyage,The alloyage of the metal was determined by using a mass spectrometer.
Alloyed,The alloyed steel is stronger than pure steel.
Alloying,Alloying is the process of adding a metal to another metal to improve its properties.
All-possessed,The all-possessed man could never be satisfied.
Allspice,"A cinnamon-scented blend of cloves, nutmeg, and allspice."
Allthing,The Allthing is the supreme legislative and judicial body of Iceland.
Allude,The poem alludes to the beauty of nature.
Alluded,The politician alluded to his opponent's lack of experience in his speech.
Alluding,The politician was alluding to her rival's corruption.
Allumette,Allumette est un mot français pour allumette.
Alluminor,Alluminor is a new type of lighting fixture that uses LED technology.
Allurance,The allurence of the new car was too much for him to resist.
Allure,The allure of the beach drew us in.
Allurement,The allurement of the new job was too much for her to resist.
Allurer,The lurer caught the fish.
Alluring,The alluring sunset over the ocean was a sight to behold.
Allusion,The poem makes an allusion to the Bible.
Allusive,The allusive nature of the poem left the reader with a sense of mystery.
Allusively,He alluded to the incident allusively.
Allusiveness,The writer's allusive style left the reader feeling confused.
Allusory,"An allusory passage from Shakespeare's play, Hamlet."
Alluvia,Alluvia are deposited by rivers.
Alluvial,Alluvial fans form at the mouths of canyons where streams deposit sediment.
Alluvion,The alluvion was deposited by the river.
Alluvious,The alluvious atmosphere filled the room with a sense of peace.
Alluvium,Alluvium is soil deposited by a river.
Alluviums,Alluviums are soils that are deposited by rivers.
Allwhere,Allwhere is a place where everything is possible.
Allwork,Allwork is a company that provides project management software.
Ally,Ally is a loyal friend.
Allying,The two countries are allying to fight against terrorism.
Allyl,Allyl is a chemical compound with the formula C3H5.
Allylene,Allylene is a gaseous alkene with the formula C3H4.
Alma,Alma is the name of a fruit.
Alma Mater,The alma mater of the president is Harvard University.
Almacantar,The Almocabar was a fortress in the region of Almançar.
Almadia,A man rowing an almdia down a river.
Almadie,"Almadie is a city in the region of Thiès, Senegal."
Almagest,Ptolemy's Almagest is an important astronomical text.
Almagra,The almagra is a type of dye.
Almah,A young woman who is a professional dancer is known as an almah.
Almain,Alman was a famous medieval poet.
Alman,Alman man is playing the guitar.
Alman,No example available
Almanac,The farmer used an almanac to predict the weather.
Almandine,A piece of almandine on a white background.
Almayne,Almayne is an archaic word for Germany.
Alme,"A young girl is playing on the swings in the park with her dog, Alme."
Almeh,The Almeh were female performers in the Ottoman Empire.
Almendron,Almondron tree is a type of tropical tree.
Almery,Almery was a city of the ancient Roman Empire.
Almesse,The beggar received an almesse from the kind old woman.
Almightful,The Almighty God created the universe.
Almightiful,The almighty God created the universe.
Almightily,"Almighty God, hear our prayer."
Almightiness,The almightyness of God is beyond human comprehension.
Almighty,The Almighty created the universe.
Almner,Almners serve food to the poor.
Almond,almonds are a type of nut
Almond furnace,Almond furnace is used to roast almonds.
Almondine,Almondine is a mineral that is found in metamorphic rocks.
Almoner,The almoner gave the poor man a coin.
Almonership,A rich man donated a large sum of money to establish an almonership in the local church.
Almonries,The almonry was where the monks gave out alms to the poor.
Almonry,The almshouse was part of the almonry.
Almose,The beggar almost received an almose from the passerby.
Almost,The baby almost fell out of the pram.
Almry,There is an almry in my bedroom.
Alms,A beggar asks for alms from passersby.
Almsdeed,An old woman gives almsdeeds to a poor man.
Almsfolk,Almsfolk were given food and shelter in almshouses.
Almsgiver,The Almsgiver gave generously to the poor.
Almsgiving,People give alms to the poor during religious festivals.
Almshouse,An almshouse is a place where poor people can live.
Almsman,Almsman begs for alms from a passerby.
Almucantar,An almucantar is a line of constant altitude on the celestial sphere.
Almuce,A man is eating almuce at a table.
Almude,Almuden is a beautiful name for a girl.
Almug,Almug wood was used to make the ark of the covenant.
Alnage,Alnage is a medieval system of inspection and control of woollen cloth.
Alnager,The alnager was the official in charge of measuring the quality of cloth.
Aloe,The aloe plant is a succulent that is native to Africa.
Aloes,Aloes are plants with succulent leaves that grow in tropical and subtropical climates.
Aloes wood,Aloes wood is used in incense.
Aloetic,The alloetic nature of the relationship between the two entities is evident in their differing perspectives.
Aloft,A bird aloft in the sky.
Alogian,The Alogians are a group of people who believe that logic is the only way to find truth.
Alogy,the alogy of a person's life is written in the wrinkles on their face.
Aloin,Aloin is a bitter compound found in aloe vera.
Alomancy,Alomancy is the art of divination using salt.
Alone,A lonely man sits alone at the bar.
Alonely,"The alonely man sat on a bench in the park, watching the children play."
Aloneness,She felt a sense of aloneness even in a crowd.
Along,"Along the path, there were flowers of all different colors."
Alongshore,The waves crash alongshore.
Alongshoreman,Alongshoreman unloading boxes from a cargo ship.
Alongside,A woman stands alongside a man at a podium.
Alongst,We walked alongst the beach.
Aloof,The aloof cat avoided eye contact with the other cats.
Aloofness,The aloofness of the princess made her seem unapproachable.
Alopecia,Alopecia is a medical condition that causes hair loss.
Alopecist,The alopecist helps his client choose a new hairpiece.
Alopecy,Alopecia is a condition that causes hair loss.
Alose,An alose is a type of fish.
Alouatte,The Alouatte is a monkey that lives in South America.
Aloud,The teacher read the passage aloud.
Alow,The man allowed the cat to sleep on his lap.
Alp,There are many alps in the world.
Alpaca,Alpacas are fluffy animals that are related to camels.
Alpen,The Alps are a mountain range that spans across Europe.
Alpenstock,Hiking in the Alps with an ice axe and alpenstock.
Alpestrine,Alpstarine is a type of plant that grows in the Alps.
Alpha,Alpha dog is the leader of the pack.
Alphabet,Alphabet is the largest global technology company.
Alphabetarian,Alphabetarian is a person who knows the alphabet.
Alphabetic,An alphabetical list of words is arranged in order.
Alphabetical,The books are arranged in alphabetical order.
Alphabetically,The books were arranged alphabetically on the shelf.
Alphabetics,A dictionary of English alphabetics is a must-have reference for any student.
Alphabetism,"The alphabetism of the word ""alphabetism"" is a palindrome."
Alphabetize,The librarian alphabetizes the books on the shelves.
Al-phitomancy,Al-phitomancy is the practice of interpreting the sounds of animals.
Alphonsine,"Alphonsine is the name of the main character in the novel ""The Awakening"" by Kate Chopin."
Alpia,Alpia is a river in Italy.
Alpigene,Alpinene are a type of mountain range.
Alpine,A young girl in an alpine village.
Alpinist,The mountaineer was an accomplished alpinist.
Alpist,An alpinist is climbing a mountain.
Alquifou,Alquifou is a village in the province of Oujda-Angad.
Already,The plane had already taken off.
Als,"Als ich jung war, liebte ich es, zu spielen."
Als,No example available
Alsatian,The Alsatian was a loyal companion to his owner.
Alsike,Alsike is a type of clover.
Also,"Also, we can provide a free sample for you to test."
Alt,The alt attribute provides a text alternative for an image.
Altaian,An Altaian woman in traditional clothing.
Altaic,The Altaic language family includes Turkish and Mongolian.
Altar,"The priest was standing at the altar, blessing the congregation."
Altarage,A woman kneeling at an altarage in a church.
Altarist,An altarist is a person who leads a worship service.
Altarpiece,The altarpiece was made of gold and silver.
Altarwise,Altarwise candles burn in a darkened chapel.
Altazimuth,An altazimuth mount is used to track objects in the sky.
Alter,A man alters the pattern of a shirt.
Alterability,The alterability of the program makes it easy to adapt to new needs.
Alterable,The alterable pattern was designed using a computer.
Alterableness,The alterableness of a poem is what makes it so enjoyable to read.
Alterably,The alterably weather vane changed direction as the wind blew.
Alterant,The doctor prescribed a new alterant to help the patient sleep.
Alteration,We made some alterations to the design.
Alterative,An alternative to the traditional method is to use a new process.
Altercate,Police officers tried to stop the two men from _altercating_.
Altercated,Two men are seen arguing and then are seen altering.
Altercating,two men are seen angrily 'altercating' on the street
Altercation,A heated altercation broke out between two politicians on live television.
Altercation,No example available
Altercative,The two men exchanged altercative words as they argued.
Altered,The altered image is now unrecognizable.
Altering,The woman was altering her dress.
Alterity,The alterity of the immigrant is a complex and multifaceted phenomenon.
Altern,The man's hair is beginning to altern.
Alternacy,The alternatory current runs through the wires.
Alternant,An alternate is someone who replaces someone else.
Alternate,The train alternated between running on the right and left tracks.
Alternated,The boy alternated between playing video games and reading books.
Alternately,The man alternately walked and ran the race.
Alternateness,The alternateness of the two colours made the design look more interesting.
Alternating,Alternating red and blue lights flashed in the distance.
Alternation,The alternation of day and night is a natural phenomenon.
Alternative,There are many alternatives to traditional medicine.
Alternatively,"Alternatively, you could try using a different method."
Alternativeness,The alternativeness of the two positions was a key factor in the debate.
Alternity,Alternity is a new way to think about the future.
Althaea,Althaea is a genus of flowering plants.
Althea,Althea was a kind and generous woman who always put others before herself.
Altheine,Altheine was an influential poet during the Renaissance period.
Altho,"Altho it was raining, we still went for a walk."
Althorn,The alto horn player was tuning up before the concert.
Although,"Although the sky was cloudy, the sun was still shining brightly."
Altiloquence,The altiloquence of the politician was met with skepticism.
Altiloquent,The altiloquent orator addressed the crowd.
Altimeter,"The altimeter on the plane indicated that we were at 30,000 feet."
Altimetry,Satellite altimetry can be used to measure sea level rise.
Altincar,Altinçar is a village in the Turkish province of Erzincan.
Altiscope,An altiscope is used to measure the altitude of celestial objects.
Altisonant,"The sonorous, altisonant voice of the opera singer filled the auditorium."
Altisonous,The church bells' altisonous peal heralded the arrival of the new bishop.
Altissimo,A flute player reaches the altissimo register.
Altitude,"The plane was flying at an altitude of 30,000 feet."
Altitudinal,The altitudinal distribution of the bird is from the lowlands to the highlands.
Altitudinarian,The altitudinarian is a person who enjoys being at high altitudes.
Altivolant,An altivolant bird soars high in the sky.
Alto,A saxophone is an alto instrument.
Altogether,There were altogether 100 people at the party.
Altometer,An altimeter is used to measure the altitude of an aircraft.
Alto-relievo,The statue of David is an example of alto-relievo.
Alto-rilievo,A relief sculpture in alto-rilievo depicts a lion attacking a bull.
Alto-rilievos,Alto-rilievos are sculptures that are carved out of a background.
Altos,The altos sang in the choir.
Altrical,The altrical is a new type of computer that is very fast.
Altrices,Altrices are adult female birds who care for their young.
Altruism,The altruism of the firefighter saved the child's life.
Altruist,An altruist is someone who is concerned with the welfare of others.
Altruistic,The altruistic woman donated money to the homeless shelter.
Aludel,The aludel is a double-walled vessel used for distillation.
Alula,Alula of a bird is a small feather on the leading edge of the wing.
Alular,The alular appendages of a mayfly are used for swimming.
Alum,Alum was used as a mordant in dyeing.
Alum root,Alum root is a perennial herb with edible roots.
Alum schist,Alum schist is a type of metamorphic rock.
Alum shale,Alum shale is a sedimentary rock that is rich in aluminum.
Alum stone,Alum stone is a type of mineral.
Alumen,Alumen is a mineral that is used as a mordant in dyeing.
Alumina,Alumina is an oxide of aluminum.
Aluminate,Aluminium is a metal that is often used to make aluminium foil.
Aluminated,The aluminumed panel was shiny and new.
Alumine,Alumine is an aluminium oxide mineral.
Aluminic,The aluminimum can is light and durable.
Aluminiferous,The aluminiferous rocks contain a high concentration of aluminum.
Aluminiform,"Aluminiumform is used in the production of lightweight, strong materials."
Aluminium,Aluminium cans are recycled and turned into new products.
Aluminize,The window was aluminiumised to reduce glare.
Aluminous,Aluminous beads are a popular choice for jewelry.
Aluminum,A small aluminum can is filled with water.
Alumish,"Alumish is a lightweight, strong metal that is often used in construction."
Alumna,An alumna of the university was awarded a prize for her work.
Alumnae,Distinguished alumnae of the university were invited to the ceremony.
Alumni,Former alumni returned to their alma mater for a reunion.
Alumnus,A famous alumnus of the university is the president.
Alunite,"Alunite is a mineral composed of aluminum, sulfur, and oxygen."
Alunogen,Alunogen is a mineral that forms in the presence of water.
Alure,The allure of the new car was too much for her to resist.
Alutaceous,The alutaceae is a family of flowering plants.
Alutation,A crowd of people gathered to perform an alutation.
Alvearies,There are two alvearies on the farm.
Alveary,An apiary with a number of beehives and an alveary.
Alveated,The alveolated wall of the lung allows for gas exchange.
Alvei,Alvei are small canals that carry blood away from the lungs.
Alveolar,The alveoli are small sacs in the lungs.
Alveolary,Alveolary gas exchange occurs in the lungs.
Alveolate,Alveolates are protists with alveoli.
Alveole,An alveolus is a small air sac in the lungs.
Alveoli,Air sacs in the lungs are called alveoli.
Alveoliform,The alveoliform sponge is a type of sponge that has a honeycomb-like structure.
Alveolus,Oxygen diffuses through the alveolus into the bloodstream.
Alveus,The alveolus is the smallest unit of the lung.
Alvine,Alvine is a beautiful flower in the garden.
Alway,Always be kind to others.
Always,Always be yourself.
Alyssum,Alysum flowers bloom on a sunny day.
Am,I am a student.
Amability,The amiable girl was always smiling and kind to everyone.
Amacratic,The amacratic system of government was not popular with the people.
Amadavat,"An amadavat is a small, colorful bird found in Asia."
Amadou,Amadou is a man who is very kind.
Amain,The pirates attacked the ship amain.
Amalgam,The dentist placed an amalgam filling in the patient's tooth.
Amalgama,A beautiful amalgama of colours and shapes.
Amalgamate,Two companies are set to amalgamate in a deal worth £100 million.
Amalgamated,"Two companies have amalgamated to form a new, larger company."
Amalgamating,two companies amalgamating to form a larger entity
Amalgamation,"The amalgamation of two companies created a new, more powerful entity."
Amalgamative,The amalgamative process created a new product that was both innovative and effective.
Amalgamator,Amalgamator is used to combine two metals.
Amalgamize,The two companies amalgamated to form a new entity.
Amandine,Amandine is a beautiful name for a girl.
Amanitine,The poisonous Amanitine was found in the mushrooms she picked.
Amanuenses,Amanuenses recorded the thoughts and ideas of their patrons.
Amanuensis,The amanuensis was tasked with copying the manuscripts.
Amaracus,Amaracus is a type of plant that is found in the Mediterranean.
Amarant,Amaranth is a flower that has a variety of different colors.
Amarantaceous,Amarantaceous plants are found in tropical and subtropical regions.
Amaranth,Amaranth leaves are a great source of nutrients.
Amaranthine,The amaranthine flowers bloomed in the summer sun.
Amaranthus,Amaranthus is a genus of flowering plants.
Amarantus,Amaranthus is a genus of flowering plants.
Amarine,Amarine lives in a small town by the sea.
Amaritude,The bittersweet amaritude of the chocolate made it a perfect dessert.
Amaryllidaceous,Amaryllis is an amaryllisaceous plant.
Amaryllideous,The amaryllis flower is a type of amaryllideous plant.
Amaryllis,Amaryllis are blooming in the garden.
Amass,A man amasses wealth by investing wisely.
Amassable,Amassable wealth is not a bad thing.
Amassed,A man has amassed a fortune over the years.
Amasser,A group of people amassing money.
Amassette,Amassette is a type of flute.
Amassing,People amassing outside the stadium for the concert.
Amassment,The amassment of people at the stadium was impressive.
Amasthenic,Amasthenic people are characterized by a lack of strength.
Amate,Amate means love in Spanish.
Amateur,Amateurs practice on the stage before the show.
Amateurish,The amateurish performance of the actor was disappointing.
Amateurism,An amateur is a person who does something for pleasure rather than for money.
Amateurship,His amateurish performance made him the laughing stock of the entire audience.
Amative,The couple's amative relationship was evident to everyone who saw them.
Amativeness,Amativeness is the desire to be loved.
Amatorial,An amateurish painting hangs on the wall.
Amatorially,The young man painted the portrait amateurishly.
Amatorian,Amateur astronomer peers through his telescope.
Amatorious,The amorous couple gazed into each other's eyes.
Amatory,An amatory poem is a poem about love.
Amaurosis,Amaurosis is the medical term for blindness.
Amaurotic,Amaurotic is a medical term describing blindness.
Amaze,The magician amazed the audience with his tricks.
Amazed,A little girl is amazed by the huge Christmas tree in her living room.
Amazedly,He gazed at the magnificent castle in amazement.
Amazedness,The child stared at the magician in amazement.
Amazeful,The amazeful view from the top of the mountain took my breath away.
Amazement,The children were filled with amazement at the sight of the fireworks.
Amazing,The amazing view of the mountains from the top of the hill.
Amazon,Amazon is an online shopping website.
Amazon stone,A small Amazon stone sits on the edge of a desk.
Amazonian,The Amazonian rainforest is home to many exotic animals.
Amazonite,Amazonite is a beautiful green stone found in the Amazon rainforest.
Amb-,The ambulance sped down the road.
Ambages,"She spoke without ambages, telling him exactly what she thought."
Ambaginous,The ambiguous instructions left me confused.
Ambagious,"The instructions were ambagious, so I was not sure what to do."
Ambagitory,The senator's ambagitory speech left the audience confused.
Ambassade,The ambassador is leaving the embassy.
Ambassador,The ambassador met with the president to discuss trade.
Ambassadorial,The ambassadorial delegation met with the president to discuss trade relations.
Ambassadorship,The ambassadorship is a position of great responsibility.
Ambassadress,The Ambassador is addressing the UN General Assembly.
Ambassage,The ambassage was located in the city center.
Ambassy,The embassy is located in a large city.
Amber,Amber is the color of her eyes.
Amber fish,Amber fish swim in the ocean.
Amber room,The Amber Room was a treasure of the Russian Empire.
Amber seed,Amber seeds are the seeds of amber trees.
Amber tree,A large amber tree stands in the forest.
Ambered,The ambered streetlights cast a warm glow on the snow-covered street.
Ambergrease,Ambergrease is a waxy substance secreted by the ambergris whale.
Ambergris,Ambergris is a waxy substance that is found in the intestines of sperm whales.
Ambes-as,Ambès-as is a commune in the Gironde department in Nouvelle-Aquitaine in southwestern France.
Ambi-,The new ambidextrous mouse was a great success.
Ambidexter,The ambidextrous child can write with both hands.
Ambidexterity,The ambidextrous child had no problem throwing a ball with either hand.
Ambidextral,The ambidextrous man was able to use both hands equally well.
Ambidextrous,The ambidextrous surgeon performed the delicate operation with ease.
Ambidextrously,I was ambidextrously able to write with both hands.
Ambidextrousness,The ambidextrous child had no trouble using both hands.
Ambient,The ambient light in the room was dim.
Ambigenous,"The word ""ambigenous"" is used to describe something that is ambiguous or unclear. For example, a statement that is ""ambigenous"" could be interpreted in two or more different ways."
Ambigu,"The sentence ""The ambiguous instructions left me confused"" is an example of using the word ""ambiguous"" correctly."
Ambiguities,The ambiguities of the law made it difficult to enforce.
Ambiguity,A sign with ambiguous instructions caused confusion among the tourists.
Ambiguous,"The sentence ""He made an ambiguous remark"" uses the word ""ambiguous"" to describe a remark that is unclear or has more than one meaning."
Ambiguously,"The instructions were ambiguously written, so I was confused about what to do."
Ambiguousness,The ambiguousness of the instructions caused confusion.
Ambilevous,The ambidextrous child easily writes with both hands.
Ambiloquy,The politician's ambiloquy confused the voters.
Ambiparous,"Ferns are ambiparous, meaning they produce both spores and gametes."
Ambit,A politician with political ambition and a grand ambition.
Ambition,She has big ambitions to be a successful writer.
Ambitionist,An ambitious young woman is eager to succeed in her career.
Ambitionless,He is an ambitionless young man.
Ambitious,An ambitious student wants to be the best in her class.
Ambitiously,An ambitiously designed building was erected on the site.
Ambitiousness,Her ambition is to become a famous actress.
Ambitus,The singer had a wide vocal ambitus.
Amble,The ducks ambled slowly through the pond.
Ambled,"The woman ambled down the street, looking at the shop windows."
Ambler,Ambler is a city in Pennsylvania.
Ambling,The cows were ambling around the pasture.
Amblingly,The man ambled slowly along the beach.
Amblotic,Amblotic fungi help to break down wood in the forest.
Amblygon,Amblygon are a genus of tarantulas found in South America.
Amblygonal,Amblygonal birds have short wings and rounded tails.
Amblyopia,Amblyopia is a condition where one eye is weaker than the other.
Amblyopic,The amblyopic child had difficulty seeing with his left eye.
Amblyopy,Amblyopia is a condition that affects vision in one eye.
Amblypoda,"Amblypoda were large, herbivorous mammals that lived during the Cenozoic era."
Ambo,Ambo is a type of umbrella.
Ambon,Ambon is the capital of the Maluku Islands.
Ambos,Ambos los niños están en la cama.
Amboyna wood,The table is made of beautiful Amboyna wood.
Ambreate,The ambreate was a type of insect that lived in the early Cretaceous period.
Ambreic,Ambreic resins are used in perfumery.
Ambrein,Ambrein is a fragrant substance extracted from ambergris.
Ambries,Ambries is a village in the Italian province of Turin.
Ambrite,Amberite is used to make jewelry.
Ambrose,Ambrose is a name.
Ambrosia,Ambrosia is the food of the gods.
Ambrosiac,"The food was ambrosiac, and the company was delightful."
Ambrosial,The ambrosial scent of the flowers filled the air.
Ambrosially,The food tasted ambrosially.
Ambrosian,The Ambrosian chant is a traditional form of Gregorian chant.
Ambrosin,Ambrosin is a genus of moths in the family Erebidae.
Ambrotype,An ambrotype is a positive photograph on glass.
Ambry,The antique ambry in the dining room held a collection of antique china.
Ambs-ace,The ambs-ace was a winning hand in poker.
Ambulacra,Echinoderms have tube feet that project from their ambulacra.
Ambulacral,A sea cucumber has ambulacral grooves.
Ambulacriform,The ambulacriform legs of a cockroach are used for walking.
Ambulacrum,An ambulacrum is a groove on the underside of a sea star that bears tube feet.
Ambulance,Ambulance speeding down the road with sirens blaring.
Ambulant,The ambulant patient was assisted into a wheelchair.
Ambulate,The patient is able to ambulate with a walker.
Ambulation,The patient was able to ambulate with a walker.
Ambulative,The woman was ambulatory and able to walk out of the hospital on her own.
Ambulator,An ambulatory patient is able to walk around without assistance.
Ambulatorial,The patient was treated on an outpatient basis and released from the ambulatory care center.
Ambulatories,There are several ambulatory clinics in the city.
Ambulatory,The patient was ambulatory after surgery.
Amburry,A group of people are amburing through a city.
Ambury,Ambury was a town in New Zealand.
Ambuscade,"The ambush was a success, and the enemy was taken by surprise."
Ambuscaded,The soldiers were ambushed on the way to the village.
Ambuscading,The soldiers were ambushed by the enemy.
Ambuscado,Ambushed soldiers in the forest were found by the ambuscado.
Ambuscadoed,Rebels ambushed a convoy of military vehicles.
Ambush,Ambush of a patrol by a group of rebels
Ambushed,The soldiers were ambushed in the jungle.
Ambusher,The ambusher waited patiently for the prey to come close.
Ambushing,A group of soldiers are ambushing a convoy of enemy vehicles.
Ambushment,Ambushment is a surprise attack.
Ambustion,The fire was caused by an ambustation.
Amebean,Amebean are single-celled organisms.
Ameer,Ameer is a boy's name.
Amel,Amel is a beautiful name for a girl.
Amelcorn,A farmer is harvesting Amelcorn.
Ameliorable,Ameliorable conditions are those that can be improved.
Ameliorate,The doctor ameliorated the patient's condition.
Ameliorated,The doctor ameliorated the patient's pain.
Ameliorating,Ameliorating the situation will require a lot of effort.
Amelioration,Amelioration of the situation is underway.
Ameliorative,Ameliorative measures were taken to improve the situation.
Ameliorator,An ameliorator is something that improves something.
Amen,"Amen, and may God bless you."
Amenability,The amenability of the soil to cultivation was a key factor in the success of the farming operation.
Amenable,He is amenable to change.
Amenableness,The amenableness of the soil to cultivation is a key factor in determining its productivity.
Amenably,The two parties settled their dispute amicably.
Amenage,The park was newly aménagé.
Amenance,"The hotel had many amenities such as a pool, a gym, and a free breakfast."
Amend,The parliament voted to amend the constitution.
Amendable,The new contract is amendable within 30 days.
Amendatory,The amendatory bill was passed by the Senate.
Amende,The driver received a fine of 100 euros for speeding.
Amended,The constitution was amended to allow women to vote.
Amender,The amender proposed a new bill that would increase taxes.
Amendful,The amendful group of students petitioned the school board for change.
Amending,Amending the Constitution is a difficult process.
Amendment,The Bill of Rights contains 27 amendments.
Amends,He made amends with his wife by buying her flowers.
Amenities,The hotel amenities include free Wi-Fi and a fitness center.
Amenity,The hotel has a variety of amenities available to its guests.
Amenorrhoea,Amenorrhoea is the absence of menstruation.
Amenorrhoea,No example available
Amenorrhoeal,Amenorrhoeal women are often infertile.
Ament,Ament is a type of flower.
Amenta,Amenta is a genus of gastropods.
Amentaceous,The amentaceous tree is covered in catkins.
Amentia,A person suffering from amentia may be unable to perform basic tasks.
